University,Name,Department,Rank,Sex,Title,Pronouns,URL,Face,Smile,prof_text,sentiment,positive,negative,neutral
Columbia,Andrea Prat,Economics Division,Full,Male,Richard Paul Richman Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/andrea-prat,1,0,"Andrea Prat is the Richard Paul Richman Professor of Business at Columbia Business School and Professor of Economics at the Department of Economics, Columbia University. After receiving his PhD in Economics from Stanford University in 1997, he taught at Tilburg University and the London School of Economics. He joined Columbia in 2012.
Professor Prat's work focuses on organizational economics and political economy. His current research in organizational economics explores - through theoretical modeling, field experiments, and data analysis - issues such as incentive provision, corporate leadership, employee motivation, and organizational language. Professor Prat is a principal investigator of the Executive Time Use Project. His current research in political economy attempts to define and measure the influence of the media industry on the democratic process.
He is the author of numerous articles in leading journals in economics and finance including the American Economic Review, Econometrica, the Journal of Finance, the Quarterly Journal of Economics, the Review of Economic Studies, and the Review of Financial Studies. He served as Chairman and Managing Editor of the Review of Economic Studies. He is an Associate Editor of Theoretical Economics and a director of the Industrial Organization program of the Center for Economic Policy Research in London. Professor Prat was elected a Fellow of the British Academy in 2011 and a Fellow of the Econometric Society in 2013.",0.5994,0.022,0.0,0.978
Columbia,Jonah Rockoff,Economics Division,Full,Male,Paul Garrett Professor of Public Policy and Business Responsibility,"['he', 'his']",https://business.columbia.edu/faculty/people/jonah-rockoff,1,0,"Jonah E. Rockoff is Paul Garrett Professor of Public Policy and Business Responsibility at the Columbia Graduate School of Business and Research Associate at the National Bureau of Economic Research. Professor Rockoff's interests center on the finance and management of public schools. His most recent research focuses on systems for hiring new teachers, the effects of No Child Left Behind on students and schools, the impact of removing school desegregation orders, and how primary school teachers affect students' outcomes in early adulthood. He received his Ph.D. in Economics from Harvard University and a B.A. in Economics from Amherst College.",-0.0516,0.02,0.022,0.958
Columbia,Jesse Schreger,Economics Division,Associate,Male,Associate Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/jesse-schreger,1,0,"Jesse Schreger is an associate professor of macroeconomics in the Economics Division at Columbia Business School. His research is primarily on international finance and macroeconomics, focusing on sovereign debt and exchange rates. His work has been published in the American Economic Review,  the Journal of Finance, and the Journal of International Economics.
Professor Schreger is also a faculty research fellow in the National Bureau of Economic Research’s International Finance and Macroeconomics Program. Prior to joining Columbia, he was an assistant professor at Harvard Business School and a post-doctoral fellow in the Department of Economics at Princeton University.
Professor Schreger received his PhD in Political Economy and Government from Harvard University. His undergraduate degree in economics and international relations is from the University of Pennsylvania.",-0.3612,0.0,0.02,0.98
Columbia,Nachum Sicherman,Economics Division,Full,Male,Carson Family Professor of Business; Chair of Economics Division,['he'],https://business.columbia.edu/faculty/people/nachum-sicherman,1,1,"Professor Sicherman analyzes the roles of education, job training, occupational and job mobility, moonlighting and retirement in the formation of careers. He currently studies the various effects of technological change on the U.S. labor market. In addition, Sicherman works with different medical groups on using cost-benefit analysis in medical decision making. A faculty research fellow at the National Bureau of Economic Research, he is the recipient of research grants from the National Science Foundation, the U.S. Department of Labor and the Citicorp Behavioral Science Research Council. Sicherman teaches the core course Managerial Economics and the elective Cost-Benefit Analysis.",0.2263,0.019,0.0,0.981
Columbia,Paolo Siconolfi,Economics Division,Full,Male,Franklin Pitcher Johnson Jr. Professor of Finance and Economics,"['he', 'his']",https://business.columbia.edu/faculty/people/paolo-siconolfi,1,0,"Professor Siconolfi teaches the core course Managerial Economics. He works with general equilibrium theory, information theory and dynamic models in monetary theory. His main contributions deal with the equilibrium properties of incomplete market economies, the existence of sunspot equilibria and the informativeness of equilibrium prices. Recently, he has also examined the dynamic efficiency of a social security system in the context of an overlapping generations model.",0.8442,0.14,0.0,0.86
Columbia,Joseph Stiglitz,Economics Division,Full,Male,Professor,['he'],https://business.columbia.edu/faculty/people/joseph-stiglitz,1,0,"Professor Stiglitz accepted a joint appointment to a chaired professorship at Columbia Business School, the Graduate School of Arts and Sciences (in the Department of Economics) and the School of International and Public Affairs in the spring of 2001. He was the first Joel M. Stern Faculty Scholar at Columbia Business School from Fall 1999 until Spring 2001. From 1997 to 2000, he served as the World Bank's Chief Economist and Senior Vice President, Development Economics. Prior to that, he served on President Clinton's economic team as a member of the U.S. Council of Economic Advisors from 1993 to 1995 and as its Chairman from 1995 to 1997.
Stiglitz is a renowned scholar and teacher of a new branch of economics that he created, the ""Economics of Information."" He also helped pioneer such pivotal concepts as theories of adverse selection and moral hazard, which have now become standard tools of policy analysts, as well as economic theorists. Recognized around the world as a leading economic educator, he has written textbooks that have been translated into several dozen languages.
Stiglitz was a Fulbright Scholar and a Tapp Junior Research Fellow at Cambridge University in 1970. He became a fellow of the Econometric Society at the age of 29 and is a member of the National Academy of Science. He is also the recipient of the prestigious John Bates Clark Medal, awarded every two years to the American economist under the age of 40 who has made the most significant contributions to the subject. In 2001, he was awarded the Nobel Prize in Economics for the analysis of markets with asymmetric information.",0.9392,0.071,0.009,0.92
Columbia,Shang-Jin Wei,Economics Division,Full,Male,N T  Wang Professor of Chinese Business and Economy,"['he', 'his']",https://business.columbia.edu/faculty/people/shang-jin-wei,1,1,"Dr. Shang-Jin Wei is N.T. Wang Professor of Chinese Business and Economy and Professor of Finance and Economics at Columbia University’s Graduate School of Business and School of International and Public Affairs.
During 2014-2016, Dr. Wei served as Chief Economist of Asian Development Bank and Director General of its Economic Research and Regional Cooperation Department. He was ADB’s chief spokesperson on economic trends and economic development in Asia, advised ADB’s President on economic development issues, led the bank’s analytical support for regional cooperation fora including ASEAN+3 (China, Japan, and Korea) and APEC, growth strategy diagnostics for developing member countries, as well as research on macroeconomic, financial, labor market, and globalization issues.
Prior to his Columbia appointment in 2007, he was Assistant Director and Chief of Trade and Investment Division at the International Monetary Fund. He was the IMF’s Chief of Mission to Myanmar (Burma) in 2004. He previously held the positions of Associate Professor of Public Policy at Harvard University, the New Century Chair in Trade and International Economics at the Brookings Institution, and Advisor at the World Bank. 
He has been a consultant to numerous government organizations including the U.S. Board of Governors of the Federal Reserve System, United Nations Economic Commission on Europe, and United Nations Development Program, the Asian Development Bank, and to private companies such as PricewaterhouseCoopers. He holds a PhD in economics and M.S. in finance from the University of California, Berkeley.
Dr. Wei is a noted scholar on international finance, trade, macroeconomics, and China. He is a recipient of the Sun Yefang Prize for Distinguished Contributions to Economics (for the invention of the Competitive Saving Motive published in Journal of Political Economy), the Zhang Peifang Prize for Contributions to Economics of Development (for pioneering work on measurement of global value chains published in American Economic Review), and the Gregory Chow Award for Best Research Paper; some of his research was supported by a grant from the U.S. National Science Foundation.
Dr. Wei’s research has been published in top academic journals including American Economic Review, Journal of Political Economy, Quarterly Journal of Economics, Journal of Finance, Review of Financial Studies, Journal of International Economics, and Journal of Development Economics, and reported in popular media including Financial Times, Wall Street Journal, Economist, Business Week, Times, US News and World Report, Chicago Tribune, South China Morning Post, and other international news media.",0.9889,0.097,0.0,0.903
Columbia,Pierre Yared,Economics Division,Full,Male,MUTB Professor of International Business,"['he', 'his']",https://business.columbia.edu/faculty/people/pierre-yared,1,1,"Pierre Yared is the MUTB Professor of International Business, Senior Vice Dean for Faculty Affairs, and Vice Dean for Executive Education at Columbia Business School.  His research, which has been published in leading academic journals, focuses on macroeconomic policy and political economy. He is a research associate of the National Bureau of Economic Research and an associate editor of the American Economic Review.  Yared teaches Global Economic Environment, a Core MBA course in macroeconomics for which he received the Dean’s Award for Teaching Excellence. He is a member of the Council on Foreign Relations and the Economic Club of New York. Yared received his AB in Economics from Harvard University and his PhD in Economics from Massachusetts Institute of Technology.",0.8225,0.061,0.0,0.939
Columbia,Stephen Zeldes,Economics Division,Full,Male,Frank R. Lautenberg Professor of Economics and Public Policy,"['he', 'his']",https://business.columbia.edu/faculty/people/stephen-zeldes,1,1,"Stephen P. Zeldes is the Frank R. Lautenberg Professor of Economics and Public Policy at Columbia University’s Graduate School of Business. He serves as co-director of the Richard Paul Richman Center for Business, Law, and Public Policy at Columbia University.  He served as chair of the school’s Finance and Economics division from 2014-17.
In his research, Professor Zeldes has examined a wide range of applied issues in both macroeconomics and household finance, including consumer borrowing and saving,  social security, retirement account portfolio choices, public and private pensions, and annuitization. His research has been published in the leading academic journals. Professor Zeldes’ teaching includes courses in macroeconomics, an interdisciplinary course titled “The Psychology and Economics of Consumer Finance,” and a class titled “FinTech: Consumer Financial Services.” In 2012, he was a recipient of the Dean’s Award for Teaching Excellence in a Core Course, and in 2013 he received the Dean’s Award for Innovation in the Curriculum.
Professor Zeldes is a Research Associate and director of the Working Group on Household Finance at the National Bureau of Economic Research. He is also a member of the Advisory Board of the Pension Research Council, and a fellow at the TIAA-CREF Institute.  Prior to joining the Columbia faculty in 1996, Zeldes was a Professor at the Wharton School of the University of Pennsylvania. He received his Ph.D. in economics from MIT in 1984 and his bachelor’s degree in economics and applied mathematics from Brown University in 1978.",0.9442,0.063,0.0,0.937
Columbia,Mabel Abraham,Management Division,Associate,Female,Barbara and Meyer Feldberg Associate Professor of Business,"['she', 'her']",https://business.columbia.edu/faculty/people/mabel-abraham,1,1,"Mabel Abraham is the Barbara and Meyer Feldberg Associate Professor of Business at Columbia Business School and a faculty affiliate of the Sanford C. Bernstein & Co. Center for Leadership and Ethics.  She teaches the MBA elective course on Power, Influence, and Networks and PhD seminars on Organizational Theory. She earned her PhD and MS in Management from the MIT Sloan School of Management. Prior to academia, Professor Abraham worked in defined benefits consulting and risk management at Fidelity Investments. 
Her research examines how organizational and network processes contribute to gender differences in economic outcomes. In one recent project, Professor Abraham compares the relative benefits received by male and female entrepreneurs through strategic social networks aimed at generating new clients. In other published and ongoing research, she examines what drives men and women to apply to jobs at different employers; how peer evaluation processes disadvantage women; and how educational status shapes gender pay inequality. Professor Abraham’s research has been published in leading academic journals, including the Academy of Management Journal, Administrative Science Quarterly, and Organization Science, and has been cited in several media outlets, including ABC, Bloomberg, Forbes and the Wall Street Journal. Abraham has also been recognized by leading scholarly associations for her research, including the American Sociological Association’s Best Published Paper Award, Wharton People Analytics Research Paper Competition, the Academy of Management’s Pondy Best Dissertation Paper Award, the INFORMS Dissertation Proposal Competition, the American Association of University Women American Fellowship, and the Kauffman Foundation Dissertation Fellowship.",0.946,0.077,0.024,0.899
Columbia,Eric Abrahamson,Management Division,Full,Male,Hughie E. Mills Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/eric-abrahamson,1,0,"Professor Abrahamson studies the creation, spread, use and rejection of innovative techniques for managing organizations and their employees. He is best known for his work on fads and fashions in management techniques. He is also an expert on the management of organizational change. He has explored the topic of change management in Change Without Pain: How Managers Can Overcome Initiative Overload, Organizational Chaos, and Employee Burnout (Harvard Business School Press, 2005), which won a Best Book of the Year award from Strategy and Business.
More recently, Abrahamson has been studying the dynamics of moderately messy system - offices, organizations and even industrial districts - that would function less well were they any less messy or any more orderly. A summary of his scholarly work was published in Research in Organizational Behavior under the title ""Disorganizational Theory and Disorganizational Behavior: Towards and Etiology of Messes"" (2002). Most recently, Abrahamson has coauthored, with David Freedman, a book that popularizes these ideas about the benefits of moderately messy system: A Perfect Mess: The Hidden Benefits of Disorder, How cluttered closets, jumbled offices, and on-the-fly planning make the world a better place (Little, Brown and Company, 2007).
He lectures and consults on these topics for companies around the world.",0.9657,0.176,0.089,0.735
Columbia,Modupe Akinola,Management Division,Full,Female,Barbara and David Zalaznick Professor of Business,['she'],https://business.columbia.edu/faculty/people/modupe-akinola,1,1,"Modupe Akinola is the Barbara and David Zalaznick Professor of Business at Columbia Business School and Faculty Director of the Sanford C. Bernstein & Co. Center for Leadership and Ethics. Prior to pursuing a career in academia, Professor Akinola worked in professional services at Bain & Company and Merrill Lynch. Professor Akinola examines how organizational environments- characterized by deadlines, multi-tasking, and other attributes such as having low status- can engender stress, and how this stress can have spill-over effects on performance. She uses a multi-method approach that includes behavioral observation, implicit and reaction time measures, and physiological responses (specifically hormonal and cardiovascular responses) to examine how cognitive outcomes are affected by stress. In addition, Professor Akinola examines workforce diversity. Specifically, she examines the strategies organizations employ to increase the diversity of their talent pool. She also explores biases that affect the recruitment and retention of minorities in organizations.",-0.7543,0.032,0.079,0.889
Columbia,Daniel Ames,Management Division,Full,Male,Ting Tsung and Wei Fong Chao Professor of Business,['he'],https://business.columbia.edu/faculty/people/daniel-ames,1,0,"Professor Ames's research focuses on social judgment and behavior. He examines how people judge themselves as well as the individuals and groups around them (e.g., impression formation, stereotyping). He also studies the consequences of these judgments on interpersonal dynamics, including prosocial behaviors (e.g., trust, cooperation, helping) and competitive interactions (e.g., negotiations, conflict, aggression). A central aspect of this work is how people ""read minds"" to make inferences--whether right or wrong--about what others think, want, and feel.",0.7964,0.17,0.052,0.778
Columbia,Joel Brockner,Management Division,Full,Male,Phillip Hettleman Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/joel-brockner,1,0,"Within the broader field of organizational behavior, Professor Brockner is well known for his work in several areas, including the effects of organizational downsizing on the productivity and morale of the ""survivors,"" the management of organizational change, organizational justice, self processes in organizations and managerial judgment and decision making. He teaches the MBA elective course Managerial Decision Making, the Ph.D. course Individual and Collective Behavior in Organizations, and he is an active consultant and speaker to companies worldwide.",0.802,0.099,0.0,0.901
Columbia,Derek Brown,Management Division,Assistant,Male,Assistant Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/derek-brown,1,0,"Derek Brown is an Assistant Professor in the Management Division at Columbia Business School. He investigates what stifles equality in organizations and society. His research focuses on how and why group membership, social hierarchies, and intergroup ideologies shape how we react and respond to the increasingly diverse society around us.
His work has been published in leading journals such as Science Advances, Journal of Personality and Social Psychology, Psychological Science, and Journal of Experimental Social Psychology. Before joining Columbia Business School, Derek completed his PhD in Management from Haas School of Business at UC Berkeley.",0.0,0.0,0.0,1.0
Columbia,Vanessa Burbano,Management Division,Associate,Female,Sidney Taurel Associate Professor of Business,"['she', 'her']",https://business.columbia.edu/faculty/people/vanessa-burbano,1,1,"Vanessa Burbano is the Sidney Taurel Associate Professor of Management in the strategy area at Columbia Business School.
Burbano researches the strategic implications of socially responsible and irresponsible firm practices; in particular, how they influence employee behavior. Her body of work has been recognized by her receipt of the 2021 Emerging Scholar Award from the Strategic Management division of the Academy of Management, and the 2021 Emerging Sustainability Scholar Award from the Alliance for Research on Corporate Sustainability. She was also named to Poets and Quants’ 2019 list of Best 40 Business School Professors Under 40.
Her work has been published in Organization Science, Management Science, Strategic Management Journal, Organizational Behavior and Human Decision Processes, California Management Review, and Organization & Environment, Her publications have been recognized with awards including those from the Strategic Management Society, the Impact for Investment Research Prize, the Responsible Research in Management Award, the Berkeley Sustainable Business and Investment Forum, the International Association of Business & Society, the Industry Studies Association, and the Alliance for Research on Corporate Sustainability. Her work has also been cited in the popular press, including in the Wall Street Journal, the New York Times, Forbes, Fortune, and The Financial Times. 
Burbano serves on the editorial boards of Organization Science, Strategic Management Journal, and Strategic Entrepreneurship Journal.  She also serves as the Corporate Engagement Director and Executive Committee Member of LEAP, an NSF Science and Technology Center (STC) dedicated to improving the accuracy of climate projections needed for optimal adaptation to climate change.
She holds a Ph.D. from UCLA Anderson School of Management and an M.P.A. from Princeton University's Woodrow Wilson School of Public and International Affairs. Prior to academia, she worked as an Associate at Goldman Sachs and as a Strategy Consultant at Monitor Group.",0.988,0.123,0.009,0.868
Columbia,Bo Cowgill,Management Division,Assistant,Male,Assistant Professor,"['he', 'his']",https://business.columbia.edu/faculty/people/bo-cowgill,1,0,"Bo Cowgill is an Assistant Professor at Columbia Business School, a research affiliate at CESifo, and a Term Member of the Council on Foreign Relations. His elective, People Analytics and Strategy, won The Aspen Institute's 2019 Ideas Worth Teaching Award. He was also named to Poets and Quants’ 2020 list of Best 40 Business School Professors Under 40.
He received his Ph.D. from UC Berkeley, and won the Kauffman Junior Faculty Fellowship, the Robert Beyster Fellowship and the CESifo Prize. At Columbia, he also has affiliations with the Data Science Institute and Zuckerman Institute. His research interests are in applied microeconomics and strategy, particularly productivity, technological innovation, organizations and platforms.",0.9755,0.198,0.0,0.802
Columbia,Shai Davidai,Management Division,Assistant,Male,Assistant Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/shai-davidai,1,0,"Shai Davidai is Assistant Professor in the Management Division of Columbia Business School. His research examines people’s everyday judgments of themselves, other people, and society as a whole. He studies the psychological forces that shape, distort, and bias people’s perceptions of the world and their influence on people’s judgments, preferences, and choices. His topics of expertise include the psychology of judgment and decision making, economic inequality and social mobility, social comparisons, and zero-sum thinking.
His work has been published in top-tier journals, including the Proceedings of the National Academy of Science, Science Advances, Scientific Reports, Nature Psychology Reviews, the Journal of Personality and Social Psychology, the Journal of Experimental Psychology, Perspectives on Psychological Sciences, The Accounting Review, the Journal of Economic Surveys, and the Journal of Behavioral Decision Making.
Shai received his PhD from Cornell University in 2015. Prior to joining Columbia Business School, Shai spent a year as a post-doctoral fellow at Princeton University and 3 years as an Assistant Professor of Psychology at The New School for Social Research",-0.4019,0.0,0.021,0.979
