Department,Name,URL,Title,Biography,Rank,University,Pronouns,Sex
accounting,Mani Sethuraman,https://business.cornell.edu/faculty-research/faculty/ss3647/,Assistant Professor,"Professor Sethuraman studies the effects of corporate disclosures on capital markets. His research focuses on the various channels through which corporate managers communicate, the complementary role played by intermediaries in reducing information asymmetry, and the specific mechanisms that underpin investor learning. He is also interested in the application of inter-disciplinary techniques such as natural language processing, voice analysis, machine learning, and predictive analytics in accounting and information economics research. Before joining Cornell, he obtained his PhD in Accounting and MBA from the Fuqua School of Business, Duke University. Professor Sethuraman has worked for multinational companies such as Citibank and IBM in various capacities. He currently teaches introductory and intermediate level financial accounting for undergraduate and MBA programs.",Assistant,Cornell,"['his', 'he', 'he', 'his', 'he']",Male
accounting,Emma Wang,https://business.cornell.edu/faculty-research/faculty/yw2652/,Assistant Professor,"Professor Emma Wang recently joined the Charles H. Dyson School of Applied Economics and Management as an assistant professor of accounting. Her research interests focus on corporate ESG practices, ESG standard setting, and sustainable financing. Her research aims to contribute to the understanding of ESG developments, stipulate discussions, and facilitate policy making. Emma received her degree in Accounting at Rotman School of Management, University of Toronto. Before joining the PhD program, Emma worked as an associate at a leading economic consulting company, Charles River Associates. There, she provided litigation and strategy consulting expertise to the world’s leading pharmaceutical companies. Emma earned her B.Com degree in Finance and Economics and her M.A degree in Economics at the University of Toronto. She is also a certified Financial Risk Manager (FRM).In her spare time, Emma enjoys cooking, yoga, Pilates, running, camping, and spending time with her family and their dog Dash.",Assistant,Cornell,"['her', 'her', 'her', 'she', 'her', 'her', 'she', 'her', 'her']",Female
accounting,Brian White,https://business.cornell.edu/faculty-research/faculty/bjw235/,"Associate Professor
Editor, Contemporary Accounting Research","Brian White is an Associate Professor of Accounting in the Samuel Curtis Johnson Graduate School of Management. His research focuses on behavioral factors that affect judgments and decisions of participants in the financial reporting process. Brian teaches financial accounting in the Executive MBA Americas program and a PhD seminar on behavioral research in accounting. His research has won multiple awards and has been published in leading journals, including The Accounting Review, Journal of Accounting Research, Journal of Accounting and Economics, Review of Accounting Studies, Contemporary Accounting Research, and Accounting, Organizations and Society. Brian has degrees from Georgetown University, the University of Edinburgh, Manchester Business School, and the University of Illinois where he completed his PhD. Prior to pursuing an academic career, he spent ten years as finance director for a privately-held retailer based in Liverpool, England. Prior to joining Johnson at Cornell, Brian was on the faculty at the McCombs School of Business at the University of Texas at Austin.",Associate,Cornell,"['his', 'his', 'he', 'his', 'he']",Male
accounting,P. Eric Yeung,https://business.cornell.edu/faculty-research/faculty/pey4/,"Professor
Faculty Director of the Cornell-Tsinghua Finance MBA","Professor Eric Yeung is professor of accounting at the Samuel Curtis Johnson Graduate School of Management at Cornell University. Yeung's research examines the relation between accounting information and economic fundamentals, as well as the economic and behavioral factors that influence (1) how market participants use accounting information and (2) how managers provide accounting information. Professor Yeung received his professional accountancy degree from the Chinese University of Hong Kong and PhD degree from University of Oregon.",Full,Cornell,['his'],Male
accounting,Xinyu Zhang,https://business.cornell.edu/faculty-research/faculty/xz687/,Assistant Professor,"Professor Xinyu Zhang is an assistant professor of accounting at the Samuel Curtis Johnson Graduate School of Management. Her primary research interest is the management control systems used in practice. Her current work examines how management control systems (e.g. incentives, feedback) bond and alienate individuals and in turn influence their cooperation and productivity. She is also interested in the antecedents and consequences of pro-social behavior and misreporting.",Assistant,Cornell,"['her', 'her', 'she']",Female
accounting,Luo Zuo (on leave),https://business.cornell.edu/faculty-research/faculty/lz352/,"Professor
Faculty Lead of the Cornell-HKUST Partnership
Editor, The Accounting Review","Luo Zuo is a Professor of Accounting at Cornell University’s Samuel Curtis Johnson Graduate School of Management. Professor Zuo received his PhD from the Massachusetts Institute of Technology in 2013, after which he joined Cornell University. At Cornell University, he was granted tenure in 2017 and promoted to full professor in 2022. Professor Zuo holds several editorial positions at top academic journals. He is an Editor of The Accounting Review, an Associate Editor of Management Science and the Journal of Accounting and Economics, and an editorial board member of Review of Accounting Studies. Professor Zuo has also held various leadership positions in academic programs and professional associations. He served as the Faculty Director of the Cornell-Tsinghua Finance MBA Program and the Faculty Lead of the Cornell-HKUST Partnership. He currently serves as the President of the Chinese Accounting Professors’ Association of North America.Professor Zuo has a broad range of research interests at the intersection of accounting and finance. His current research explores the role of individual decision makers in shaping observed accounting phenomena. This line of research recognizes two central ideas in behavioral economics. First, individual behavior depends not only on economic incentives and accessible information, but also on individual preferences, abilities, experiences, and other characteristics. Second, the constraints that structure human interactions encompass both formal institutions (e.g., rules, laws, constitutions) and informal institutions (e.g., norms, conventions, rituals). For example, his research demonstrates the long-term impact of early-career experiences on professional conduct in a variety of populations, including corporate managers, audit partners, and financial advisors. His work on top management teams (TMTs) in China explains that listing the TMT names in the order of power in the annual report serves as a ritual in a relational society and that the divergence between the name order and executive compensation reflects nonmarket institutional forces in China.Professor Zuo has received numerous research and teaching awards, including the Cornell-Tsinghua Finance MBA Program Best Teaching Award, the University of Toronto Roger Martin Award for Emerging Leaders, the Journal of Accounting Research Excellence in Refereeing Award, the American Accounting Association FARS Outstanding Discussion Award, the Johnson School Accelerated MBA Core Faculty Award, and the Johnson School Faculty Research Award. His research has been featured in The Economist, The NBER Digest, The Wall Street Journal, and many other media outlets.",Full,Cornell,"['his', 'he', 'he', 'he', 'he', 'he', 'his', 'his', 'his', 'his']",Male
accounting,Gordon Potter,https://business.cornell.edu/faculty-research/faculty/gsp6/,Associate Professor Emeritus,"Gordon Potter is an emeritus associate professor of accounting at the Cornell School of Hotel Administration. He received a doctorate degree in accounting from the University of Wisconsin-Madison. Prior to obtaining the doctorate he worked for Deloitte and JP Morgan Chase. He is a certified public accountant and a member of the Wisconsin Institute of CPAs. Professor Potter is the recipient of numerous outstanding teacher awards from the Carlson School of Management, University of Minnesota, and School of Hotel Administration.Professor Potter has published in the Journal of Accounting and Economics, Journal of Accounting Research, The Accounting Review, The Academy of Management Journal, Accounting Organizations and Society, and the Journal of Management Accounting Research. He has been a member of the editorial board of the Journal of Management Accounting Research and The Accounting Review. He is a recipient of the Notable Contribution to Management Accounting Research Award, which is given by the Management Accounting Section of the American Accounting Association. His current research interests include strategic cost management, costing systems, and management control practices, including performance measurement and employee compensation. He is also a co-author of the 9th, 10th and 11th editions of the Uniform System of Accounts for the Lodging Industry.",Emeritus,Cornell,"['he', 'he', 'he', 'he', 'he', 'his', 'he']",Male
accounting,Robert J. Swieringa,https://business.cornell.edu/faculty-research/faculty/rjs22/,"Professor Emeritus
Anne and Elmer Lindseth Dean Emeritus","Professor Robert Swieringa is Anne and Elmer Lindseth Dean Emeritus and professor emeritus of accounting at the Johnson Graduate School of Management. He earned a BA degree in economics from Augustana College, an MBA in accounting and economics from the University of Denver, and a PhD in accounting and complex organizations from the University of Illinois. Swieringa's teaching interests are in the areas of corporate financial reporting, corporate governance, and the use of accounting information for decision making and performance evaluation.Swieringa was a member of the accounting faculty at the Stanford Graduate School of Business and at Johnson before serving as a member of the Financial Accounting Standards Board (FASB), the key policy-making organization for accounting issues in the United States, from 1986 to 1996. Swieringa gained wide visibility and influence in the corporate community through his work with the group. Swieringa was a professor in the practice of accounting at the Yale School of Management before returning to Johnson in 1997 as the Anne and Elmer Lindseth Dean from 1997 to 2007 and professor of accounting from 1997-2015. Swieringa was a visiting scholar at Harvard Business School in fall 2007.An outstanding teacher and lecturer, Swieringa won the Justice Foundation Award for Outstanding Teaching at Cornell and has received numerous awards and honors in recognition of his scholarly and professional work. His research interests are in corporate financial reporting, corporate governance, and behavioral accounting.Professor Swieringa is a past chair of the board of directors of the Graduate Management Admission Council which provides the GMAT, the most widely used assessment test in graduate business studies. He is a member of the American Accounting Association and is a past president of its Financial Accounting and Reporting Section. He was a member of the board of trustees of Augustana College and the Board of Directors of General Electric. He is  a member of the board of managers of the Partners Group Private Equity Fund.",Emeritus,Cornell,"['he', 'his', 'his', 'his', 'he', 'he', 'he']",Male
applied-economics-and-policy,Aaron Adalja,https://business.cornell.edu/faculty-research/faculty/aaa362/,Assistant Professor,"Aaron Adalja is an assistant professor of food and beverage management at the School of Hotel Administration and an applied economics and policy area faculty member in the Cornell SC Johnson College of Business. He holds a PhD in agricultural and resource economics from the University of Maryland, College Park.Adalja's research interests include a range of topics in food and agricultural economics, drawing on consumer theory, industrial organization, and marketing to examine empirical questions in food labeling and quality certification, food safety, and agricultural marketing. His current research includes studies on consumers' and firms' responses to voluntary non-GMO food labeling and on the economic impact of U.S. food safety regulation on produce growers.Prior to graduate school, Adalja spent several years as a chef de partie for the Thomas Keller Restaurant Group at Per Se in New York City, an experience that catalyzed his interest in hospitality and food economics.",Assistant,Cornell,"['he', 'his', 'his']",Male
applied-economics-and-policy,Christopher B. Barrett,https://business.cornell.edu/faculty-research/faculty/cbb2/,"Stephen B. and Janice G. Ashley Professor of Applied Economics and Management
Co-Editor-in-Chief, Food Policy","Chris Barrett is Stephen B. and Janice G. Ashley Professor of Applied Economics and Management, and an international professor of agriculture at the Charles H. Dyson School of Applied Economics and Management, as well as a professor in the Cornell Jeb E. Brooks School of Public Policy, and a fellow of the Cornell Atkinson Center for Sustainability, all at Cornell University. He is co-editor-in-chief of the journal Food Policy and edits the Palgrave Macmillan book series Agricultural Economics and Food Policy. He has won several university, national, and international awards for teaching, research and public outreach, and is an elected fellow of the American Association for the Advancement of Science, the Agricultural and Applied Economics Association, and the African Association of Agricultural Economists.",Full,Cornell,"['he', 'he']",Male
applied-economics-and-policy,Kaushik Basu,https://business.cornell.edu/faculty-research/faculty/kb40/,Professor,,Full,Cornell,[],Male
applied-economics-and-policy,Arnab Basu,https://business.cornell.edu/faculty-research/faculty/ab362/,Professor,"Arnab K. Basu is an economist and Professor at the Charles H. Dyson School of Applied Economics and Management, Cornell University. His primary research interests are within the area of labor markets in development countries, the economics of eco-and social labeling, and designing lab-in-the-field experiments to elicit behavioral preferences. Within labor markets, Arnab's research spans topics on the informal sector, minimum wage and enforcement, labor contracts, employment guarantee schemes, child labor, human trafficking and migration driven by climate and social networks. Within behavioral economics, his research involves both designing experiments as well as the use of secondary data to analyze altruism, intra-household bargaining power, human capital investments and response to disasters in various countries (Colombia, Cote d’Ivoire, Ethiopia, and Vietnam). Arnab is also involved in several projects that are India-specific, viz., the link between indoor air pollution and child mortality, differential health (hypertension and clinical depression) reporting error amongst older adults, the effect of Kerala’s partial alcohol ban on intimate partner violence and dishonest behavior in individual and group settings. Arnab is a research fellow at the Institute of Labor Economics (IZA) in Bonn, Germany, and a fellow of the Global Labor Organization (GLO), and a recent Visiting Scholar at the World institute for Development Economics Research (UNU-WIDER), Helsinki, Finland, and Visiting Professor at the Department of Economics. University of Oxford, UK. He was awarded a research fellowship by the Alexander von Humboldt Foundation, Germany, and a recipient of the Theodore W. Schultz Young Economist Prize awarded by the International Association of Agricultural Economists (IAAE). He is currently an Associate Editor for the Journal of Economic Policy Reform and an Academic Editor for the Public Library of Science journal, PLoS ONE. Arnab holds a Ph.D in Economics from the Johns Hopkins University, Baltimore, MD and a M.A in Economics from the Delhi School of Economics, India.",Full,Cornell,"['his', 'his', 'he', 'he']",Male
applied-economics-and-policy,Garrick Blalock (on leave),https://business.cornell.edu/faculty-research/faculty/gb78/,Associate Professor,"Garrick Blalock joined the Department of Applied Economics and Management in 2002. His research interests include management of technology, firm strategy, and emerging markets.",Associate,Cornell,['his'],Male
applied-economics-and-policy,Vicki Bogan (on leave),https://business.cornell.edu/faculty-research/faculty/vlb23/,"Professor
Director, Institute for Behavioral and Household Finance","Prof. Bogan's research interests are in the areas of financial economics, behavioral finance, and applied microeconomics centering on issues involving investment decision making behavior and financial markets. She explores questions relating to investment decision making (corporate and individual) and household portfolio allocation with the goal of shedding light on how to better model observed behavior.",Full,Cornell,['she'],Female
applied-economics-and-policy,Nancy H. Chau,https://business.cornell.edu/faculty-research/faculty/hyc3/,Professor,"Professor Nancy Chau joined the faculty in the Charles H. Dyson School of Applied Economics and Management at Cornell in 1999. Professor Chau's research interests fall under three main areas: international trade, regional economics, and economic development, with particular emphasis on the economics of information and uncertainty. Recent research focuses on index measurement of trade restrictiveness that accounts for second-best argumentation of trade policies, market-based approaches to foster labor and environmental standards via international trade, and the impact of direct farm payments and import barriers on export promotion.Professor Chau was recently awarded the Alexander von Humboldt Research Fellowship, and the first T. W. Schultz Award of the International Agricultural Economics Association. She is an associate editor of the American Journal of Agricultural Economics, a senior fellow at the Center for Development Research, a research fellow at the Institute for the Study of Labor (IZA Bonn), and member of an expert panel for the Office of the UN High Commissioner for Human Rights (OHCHR). Professor Chau has published widely, in journals such as Economic Journal, Economics and Politics, Economica, European Economic Review, International Economic Review, Journal of Economic Growth, Journal of Economic Theory, Journal of Labor Economics, Journal of Law and Economics, Journal of Public Economics, Journal of Public Economic Theory, and the World Bank Economic Review.",Full,Cornell,['she'],Female
applied-economics-and-policy,Ralph Dean Christy,https://business.cornell.edu/faculty-research/faculty/rdc6/,Professor,"Ralph D. Christy is director of CIIFAD and professor of emerging markets at Cornell University, where he teaches and conducts food marketing research and educational programs on the economic performance of markets and distribution systems. He has advised industry leaders and public policy makers on food marketing strategies, economic development, and the organization of the global food economy. A PhD graduate of Michigan State University's Department of Agricultural Economics, Christy is past president of the American Agricultural Economics Association, and is currently a board member of the Winthrop Rockefeller Foundation, WinRock International, and the Agribusiness Capital Fund. He is the author of three books: A Century of Service: Land Grant Colleges and Universities, 1890-1990(1992); Achieving Sustainable Communities in a Global Economy (2004); and Emerging Markets (forthcoming). His most recent research calls attention to the role of creating an enabling environment for accelerating agro-industries' contributions to sustain economic growth and development.",Full,Cornell,"['he', 'he', 'he', 'his']",Male
applied-economics-and-policy,Mark A. Constas (on sabbatical),https://business.cornell.edu/faculty-research/faculty/mac223/,Professor,"Mark Constas is a Professor of Applied Economics and Policy in the Charles H. Dyson School of Applied Economics & Management at Cornell University. He is a Fellow of the Tata-Cornell Institute for Agriculture and Nutrition and a Fellow of the Atkinson Center for Sustainability. Through his writing and leadership, he has contributed to work that explores how the concept of resilience may be theorized and operationalized as a focal point of measurement and evaluation for development assistance and humanitarian aid. He is particularly interested in advancing measurement approaches in applied settings where theoretical formulations can be put to the test and improved upon. In support of such work, he served as chair of the Resilience Measurement Technical Working Group, a global initiative under the auspices of The Food and Agriculture Organization, and The World Food Program. Professor Constas regularly participates in expert panels on food security and resilience and has served as an advisor to several organizations in the United Nations system. His work has appeared in a selection of highly competitive peer-reviewed journals, including Nature, World Development, Global Food Security, and Proceedings of the National Academy of Sciences. His work has also been published by United Nations agencies, reaching policy audiences and implementers in developing countries.",Full,Cornell,"['he', 'his', 'he', 'he', 'he', 'his', 'his']",Male
applied-economics-and-policy,Dragana Cvijanovic,https://business.cornell.edu/faculty-research/faculty/dc998/,Associate Professor,,Associate,Cornell,[],Female
applied-economics-and-policy,Brian Dillon,https://business.cornell.edu/faculty-research/faculty/bmd28/,Assistant Professor,"Dillon's research focuses on agriculture, seasonality, market integration, labor markets, and small firms. He works primarily in Sub-Saharan Africa, though he has lived and worked in Guatemala, Vietnam, and Tanzania. His empirical research uses a range of methods, including RCTs, estimation of structural models, time series analysis, and evaluation of natural experiments.",Assistant,Cornell,"['he', 'he', 'his']",Male
applied-economics-and-policy,Sean Flynn,https://business.cornell.edu/faculty-research/faculty/sjf236/,Assistant Professor,,Assistant,Cornell,[],Male
applied-economics-and-policy,Todd Gerarden,https://business.cornell.edu/faculty-research/faculty/tdg48/,Assistant Professor,,Assistant,Cornell,[],Male
applied-economics-and-policy,Miguel Gómez,https://business.cornell.edu/faculty-research/faculty/mig7/,"Robert G. Tobin Professor of Food Marketing
Academic Director, Cornell Food Industry Management Program
Area Chair for Applied Economics and Policy","Miguel I. Gómez has a MS and a PhD in Applied Economics from the University of Illinois. He is the Robert G. Tobin Food Marketing Professor in the Dyson School of Applied Economics and Management, Cornell University. He is the Faculty Director of the Food Industry Management Program, which is globally recognized as the premier food industry education and research program.Professor Gómez concentrates his research program on two interrelated areas under the umbrella of food marketing and distribution. The first is Food Value Chains Competitiveness and Sustainability. His work in this area involves multi-disciplinary collaborations for the development models to assess supply chain performance in multiple dimensions - economic, social and environmental. The second is Food Markets. Here, he combines theory and outreach methods to analyze food markets from farm to table, emphasizing key concepts such as demand response, consumer behavior, buyer-seller negotiations, market power, and retail performance. In addition, his research extends to economic development and environmental economics, examining incentives and barriers of smallholder farmer participation in food value chains and sustainability of food systems, with emphasis in Latin America. In addition, his applied research efforts aim at enhancing market opportunities fruit and vegetable products, benefiting producers, food processors/distributors and consumers worldwide.His work has been published in top journals including Science, Management Science, American Journal of Agricultural Economics, World Development and Food Policy, among others. His research program has been externally funded with over 100 research grants, including the National Science Foundation and the U.S. Department of Agriculture. He has won several prestigious teaching and research awards, including the Rising Star Faculty Award of the College of Agriculture and Life Sciences at Cornell University. He has consulted for multilateral development institutions such as the U.N Food and Agriculture Organization and the Inter American Development Bank.",Full,Cornell,"['he', 'he', 'his', 'his', 'he', 'his', 'his', 'his', 'his', 'he', 'he']",Male
applied-economics-and-policy,John Hoddinott,https://business.cornell.edu/faculty-research/faculty/jfh246/,H.E. Babcock Professor of Food & Nutrition Economics and Policy,,Full,Cornell,[],Male
applied-economics-and-policy,David Just,https://business.cornell.edu/faculty-research/faculty/drj3/,"Susan Eckert Lynch Professor in Science and Business
Director of the Graduate Studies Program","Dr. David R. Just received his PhD (2001) and MS (1999) degrees in agricultural and resource economics from the University of California, Berkeley, and a BA (1998) in economics from Brigham Young University. He is currently the Susan Eckert Lynch Professor of Science and Business in the Charles H. Dyson School of Applied Economics and Management, and the area coordinator for applied economics and policy in the S.C. Johnson College of Business at Cornell University.",Full,Cornell,"['his', 'he']",Male
applied-economics-and-policy,Harry M. Kaiser,https://business.cornell.edu/faculty-research/faculty/hmk2/,Gellert Family Professor of Applied Economics and Management,"Harry M. Kaiser teaches and conducts research in the areas of price analysis, marketing, and quantitative methods. He is the Gellert Family Professor and associate dean for academic a affairs at the Charles Dyson School of Applied Economics and Management. Professor Kaiser has written 145 refereed journal articles, five books, 17 book chapters, and over 150 research bulletins, and received $8 million in research grants in these areas, and is a Fellow of the Agricultural and Applied Economics Association.  In 2005, Professor Kaiser was elected president of the Northeastern Agricultural and Resource Economics Association. Professor Kaiser received the highest award given to alumni of the University of Wisconsin-Eau Claire—the Alumni Distinguished Achievement Award.  Professor Kaiser also received the Outstanding Achievement Award from the Board of Regents of the University of Minnesota, which is the highest award conferred by the university to an alumnus. Professor Kaiser received the Outstanding Alumni Award from the Department of Applied Economics, University of Minnesota, in 2009.",Full,Cornell,['he'],Male
